 Output of fluxint20 v.13.01.20
Input NS model file:  dipset02.dat
  KB LAT1 KBB KS  MT   KD thetam   M (MSun)     R (km)  B12(pole)  DeltaM/M   RgR    ZGRAV   GS14     FR      PR
   1  -1   1   1   6   1  1.5708    2.0000   11.4300  3.000E+00  0.000E+00  0.5169  0.4385  2.9241  1.6731  1.9894
lg Teff(inf):
            5.2000     5.3000     5.4000     5.5000     5.6000     5.7000
lg Teff(loc):
            5.3579     5.4579     5.5579     5.6579     5.7579     5.8579
lg Tint(loc):
            6.8155     7.0468     7.2583     7.4634     7.6636     7.8598
  -3.075  1.641E+15  1.953E+15  2.309E+15  2.725E+15  3.326E+15  4.207E+15
  -3.050  1.868E+15  2.194E+15  2.598E+15  3.035E+15  3.766E+15  4.730E+15
  -3.025  2.111E+15  2.413E+15  2.888E+15  3.464E+15  4.200E+15  5.240E+15
  -3.000  2.322E+15  2.658E+15  3.148E+15  3.888E+15  4.581E+15  5.797E+15
  -2.975  2.552E+15  2.938E+15  3.469E+15  4.308E+15  5.025E+15  6.538E+15
  -2.950  2.862E+15  3.266E+15  3.951E+15  4.773E+15  5.802E+15  7.365E+15
  -2.925  3.226E+15  3.673E+15  4.450E+15  5.350E+15  6.572E+15  8.125E+15
  -2.900  3.645E+15  4.181E+15  4.945E+15  6.026E+15  7.288E+15  8.860E+15
  -2.875  4.149E+15  4.758E+15  5.475E+15  6.715E+15  8.106E+15  9.699E+15
  -2.850  4.708E+15  5.393E+15  6.072E+15  7.421E+15  9.092E+15  1.077E+16
  -2.825  5.280E+15  6.082E+15  6.794E+15  8.279E+15  1.023E+16  1.217E+16
  -2.800  5.859E+15  6.820E+15  7.747E+15  9.367E+15  1.140E+16  1.364E+16
  -2.775  6.501E+15  7.610E+15  8.893E+15  1.062E+16  1.265E+16  1.510E+16
  -2.750  7.258E+15  8.457E+15  1.007E+16  1.187E+16  1.413E+16  1.673E+16
  -2.725  8.170E+15  9.387E+15  1.125E+16  1.338E+16  1.588E+16  1.869E+16
  -2.700  9.239E+15  1.049E+16  1.247E+16  1.495E+16  1.789E+16  2.113E+16
  -2.675  1.043E+16  1.180E+16  1.384E+16  1.656E+16  2.010E+16  2.412E+16
  -2.650  1.172E+16  1.333E+16  1.550E+16  1.831E+16  2.248E+16  2.747E+16
  -2.625  1.314E+16  1.505E+16  1.746E+16  2.040E+16  2.511E+16  3.085E+16
  -2.600  1.474E+16  1.693E+16  1.962E+16  2.310E+16  2.818E+16  3.429E+16
